ID;Not Agent;Bedroom;Property type;Area;Type of finish;Bathroom;Price
1;True;2;Apartment;1450;Furnished;2;20000
2;True;3;Apartment;1900;Unfurnished;3;22000
3;False;3;Apartment;1450;Semi-Furnished;3;17500
4;False;3;Apartment;1650;Semi-Furnished;3;30000
5;False;2;Apartment;1080;Furnished;2;30000
6;False;3;Apartment;1440;Semi-Furnished;3;25000
7;False;2;Apartment;1305;Furnished;2;25000
8;False;2;Apartment;1000;Semi-Furnished;2;14000
9;False;2;Apartment;900;Furnished;2;20000
10;False;3;Apartment;1985;Unfurnished;1;24000
11;False;1;Apartment;1200;Semi-Furnished;2;19000
12;False;2;Apartment;1064;Semi-Furnished;2;10000
13;False;3;Apartment;1800;Semi-Furnished;3;22000
14;False;2;Apartment;1232;Semi-Furnished;2;9000
15;False;2;Apartment;1105;Unfurnished;2;15000
16;False;2;Apartment;950;Furnished;2;14000
17;False;3;Apartment;1926;Semi-Furnished;3;13500
18;False;2;Apartment;1350;Semi-Furnished;2;14000
19;False;3;Apartment;1080;Unfurnished;2;10500
20;False;3;Apartment;2100;Semi-Furnished;3;34001
21;False;3;Apartment;2010;Semi-Furnished;3;37000
22;False;2;Apartment;1225;Unfurnished;3;12000
23;False;1;Apartment;598;Semi-Furnished;1;12500
24;False;3;Apartment;1836;Semi-Furnished;1;23000
25;False;2;Apartment;1200;Furnished;2;25000
26;False;3;Apartment;1125;Furnished;3;25000
27;False;1;Apartment;640;Unfurnished;1;10000
28;False;2;Apartment;1322;Unfurnished;2;18000
29;False;2;Apartment;1080;Semi-Furnished;2;15000
30;False;2;Apartment;1225;Semi-Furnished;2;15000
31;False;2;Apartment;1325;Semi-Furnished;2;15000
32;False;3;Apartment;1800;Semi-Furnished;3;23000
33;False;3;Apartment;2100;Furnished;3;40000
34;False;1;Apartment;1000;Semi-Furnished;2;12000
35;False;2;Apartment;1300;Furnished;2;22000
36;False;2;Apartment;1700;Furnished;2;17000
37;False;3;Apartment;1800;Furnished;3;30000
38;False;3;Apartment;1650;Semi-Furnished;3;20000
39;False;2;Apartment;1250;Furnished;2;21000
40;False;3;Apartment;2115;Semi-Furnished;3;40000
41;False;1;Independent Floor;1100;Semi-Furnished;2;11500
42;False;3;Apartment;1436;Semi-Furnished;3;17000
43;False;2;Apartment;1775;Furnished;2;18000
44;False;2;Apartment;1215;Semi-Furnished;2;16000
45;False;1;Apartment;900;Unfurnished;1;11500
46;False;3;Apartment;1650;Semi-Furnished;3;25000
47;False;2;Apartment;1140;Semi-Furnished;2;15000
48;False;3;Apartment;1810;Furnished;3;23000
49;False;3;Apartment;1760;Furnished;3;32000
50;False;3;Apartment;1760;Furnished;3;42000
51;False;3;Apartment;1785;Semi-Furnished;3;22500
52;False;3;Apartment;1750;Furnished;3;42000
53;False;1;Apartment;646;Unfurnished;1;8000
54;False;2;Apartment;1125;Semi-Furnished;2;18500
55;False;2;Apartment;1000;Furnished;2;25000
56;False;3;Apartment;2000;Semi-Furnished;3;30000
57;False;3;Apartment;1850;Semi-Furnished;3;28000
58;False;3;Apartment;1905;Unfurnished;3;30000
59;False;3;Apartment;2115;Unfurnished;3;35000
60;False;3;Apartment;1750;Semi-Furnished;3;35000
61;False;3;Apartment;1500;Furnished;3;20000
62;False;2;Apartment;672;Semi-Furnished;2;20000
63;False;2;Apartment;945;Unfurnished;2;18000
64;False;3;Apartment;1850;Unfurnished;3;13600
65;True;2;Apartment;1150;Semi-Furnished;2;9500
66;False;2;Apartment;1210;Unfurnished;2;10500
67;False;2;Apartment;1080;Unfurnished;2;8000
68;False;3;Independent Floor;1700;Furnished;3;20000
69;False;2;Apartment;1133;Furnished;2;20000
70;True;3;Apartment;1250;Semi-Furnished;2;23000
71;False;3;Apartment;1710;Furnished;3;26000
72;False;3;Apartment;2052;Unfurnished;3;14000
73;False;2;Apartment;999;Semi-Furnished;2;12000
74;True;1;Apartment;1100;Semi-Furnished;1;10000
75;False;2;Apartment;1197;Semi-Furnished;2;13500
76;False;2;Apartment;1233;Semi-Furnished;3;14000
77;False;2;Apartment;1200;Semi-Furnished;2;15500
78;False;1;Apartment;600;Semi-Furnished;1;11750
79;False;2;Apartment;1200;Semi-Furnished;2;19850
80;False;2;Apartment;1030;Semi-Furnished;2;22000
81;False;3;Apartment;1500;Unfurnished;2;45000
82;False;3;Apartment;1676;Semi-Furnished;3;29000
83;False;2;Apartment;1468;Semi-Furnished;2;35000
84;False;1;Apartment;600;Semi-Furnished;1;8899
85;True;2;Independent Floor;1200;Semi-Furnished;1;16000
86;True;2;Apartment;1250;Furnished;2;32000
87;True;2;Apartment;1054;Furnished;2;18000
88;False;1;Apartment;700;Semi-Furnished;1;16500
89;False;2;Apartment;1330;Semi-Furnished;2;40000
90;True;2;Apartment;650;Semi-Furnished;1;9500
91;False;3;Apartment;1900;Semi-Furnished;2;40000
92;False;1;Apartment;600;Furnished;1;20000
93;True;2;Independent Floor;900;Semi-Furnished;2;23000
94;True;2;Independent Floor;1000;Unfurnished;2;19000
95;True;2;Independent Floor;700;Semi-Furnished;2;13500
96;True;2;Independent Floor;1000;Semi-Furnished;2;11000
97;True;2;Independent Floor;1350;Semi-Furnished;2;16000
98;False;2;Independent Floor;1200;Semi-Furnished;2;27500
99;False;2;Independent Floor;780;Semi-Furnished;2;16400
100;True;2;Independent Floor;650;Furnished;2;20000
101;False;1;Independent Floor;600;Semi-Furnished;1;13500
102;True;1;Apartment;1000;Semi-Furnished;1;12000
103;False;2;Independent Floor;1300;Semi-Furnished;2;23000
104;True;2;Independent Floor;1050;Semi-Furnished;2;15500
105;True;3;Apartment;1380;Semi-Furnished;2;22000
106;False;3;Apartment;1776;Semi-Furnished;3;45000
107;True;2;Apartment;1160;Semi-Furnished;2;20000
108;True;1;Independent Floor;600;Furnished;1;9000
109;False;2;Apartment;1000;Semi-Furnished;2;18000
110;False;2;Apartment;1297;Furnished;2;35000
111;False;2;Independent Floor;900;Semi-Furnished;2;20000
112;True;2;Independent Floor;400;Unfurnished;1;8000
113;True;2;Independent Floor;1500;Semi-Furnished;2;16000
114;True;1;Apartment;635;Semi-Furnished;1;12000
115;True;2;Apartment;1155;Furnished;2;18000
116;True;2;Independent Floor;1200;Semi-Furnished;3;20000
117;True;1;Independent Floor;500;Semi-Furnished;1;7000
118;True;3;Apartment;1625;Semi-Furnished;3;20000
119;False;3;Apartment;1200;Semi-Furnished;3;18000
120;False;3;Apartment;1850;Semi-Furnished;3;42000
121;False;1;Independent Floor;600;Semi-Furnished;1;15000
122;True;1;Independent Floor;650;Semi-Furnished;1;8500
123;True;3;Apartment;1650;Semi-Furnished;3;20000
124;False;2;Apartment;1200;Semi-Furnished;2;18000
125;False;2;Apartment;1359;Semi-Furnished;2;26000
126;True;1;Independent Floor;650;Semi-Furnished;1;11000
127;False;3;Apartment;1200;Furnished;2;18000
128;False;1;Apartment;500;Semi-Furnished;1;13000
129;True;2;Apartment;1200;Semi-Furnished;2;18000
130;False;2;Apartment;800;Unfurnished;1;13500
131;False;2;Independent Floor;1150;Unfurnished;2;15000
132;True;2;Independent Floor;540;Unfurnished;2;13000
133;True;3;Apartment;1398;Semi-Furnished;3;20000
134;True;2;Apartment;1050;Semi-Furnished;2;16500
135;True;2;Apartment;1300;Semi-Furnished;2;22000
136;True;2;Apartment;665;Unfurnished;2;10000
137;True;2;Apartment;1000;Semi-Furnished;2;13000
138;True;1;Apartment;1000;Semi-Furnished;1;4500
139;True;1;Independent Floor;500;Semi-Furnished;1;11000
140;True;1;Independent Floor;500;Semi-Furnished;1;8000
141;True;2;Apartment;1350;Semi-Furnished;2;23000
142;True;2;Apartment;1500;Semi-Furnished;2;14000
143;True;2;Apartment;1125;Semi-Furnished;2;21000
144;True;2;Apartment;1117;Semi-Furnished;2;25000
145;True;1;Apartment;960;Semi-Furnished;2;10000
146;True;2;Apartment;1400;Semi-Furnished;2;30000
147;True;1;Independent Floor;1500;Semi-Furnished;1;11500
148;True;2;Apartment;1200;Semi-Furnished;2;9500
149;True;3;Independent Floor;1450;Semi-Furnished;3;25000
150;True;1;Apartment;740;Semi-Furnished;1;13000
151;True;1;Apartment;700;Semi-Furnished;1;9500
152;True;2;Apartment;1287;Semi-Furnished;2;30000
153;True;2;Independent Floor;1100;Semi-Furnished;3;15000
154;True;3;Apartment;1760;Semi-Furnished;3;32000
155;True;3;Apartment;1451;Semi-Furnished;2;20000
156;True;2;Independent Floor;1000;Semi-Furnished;2;18000
157;True;2;Independent Floor;850;Semi-Furnished;2;17000
158;True;3;Apartment;1325;Semi-Furnished;2;26000
159;True;2;Apartment;957;Semi-Furnished;2;20000
160;True;2;Independent Floor;1300;Semi-Furnished;2;16000
161;True;2;Independent Floor;1350;Semi-Furnished;2;15500
162;True;2;Apartment;1200;Semi-Furnished;2;20000
163;True;2;Apartment;1200;Furnished;2;30000
164;True;1;Independent Floor;900;Semi-Furnished;1;9000
165;True;3;Apartment;1950;Semi-Furnished;3;30000
166;True;2;Apartment;1062;Semi-Furnished;2;15500
167;True;2;Independent Floor;740;Semi-Furnished;2;9300
168;True;1;Independent Floor;400;Semi-Furnished;1;8000
169;True;2;Apartment;1350;Semi-Furnished;2;16000
170;True;3;Apartment;2032;Furnished;3;50000
171;True;3;Independent Floor;1300;Furnished;2;30000
